CO_PAIS	CO_PAIS_ISON3	CO_PAIS_ISOA3	NO_PAIS
000	898	ZZZ	Não Definido
013	004	AFG	Afeganistão
015	248	ALA	Aland, Ilhas
017	008	ALB	Albânia
020	724	ESP	Alboran-Perejil, Ilhas
023	276	DEU	Alemanha
025	278	DEU	Alemanha Oriental
031	854	BFA	Burkina Faso
037	020	AND	Andorra
040	024	AGO	Angola
041	660	AIA	Anguilla
042	010	ATA	Antártica
043	028	ATG	Antígua e Barbuda
047	530	ANT	Antilhas Holandesas
053	682	SAU	Arábia Saudita
059	012	DZA	Argélia
063	032	ARG	Argentina
064	051	ARM	Armênia
065	533	ABW	Aruba
069	036	AUS	Austrália
072	040	AUT	Áustria
073	031	AZE	Azerbaijão
077	044	BHS	Bahamas
080	048	BHR	Barein
081	050	BGD	Bangladesh
083	052	BRB	Barbados
085	112	BLR	Belarus
087	056	BEL	Bélgica
088	084	BLZ	Belize
090	060	BMU	Bermudas
093	104	MMR	Mianmar
097	068	BOL	Bolívia
098	070	BIH	Bósnia-Herzegovina
099	535	BES	Bonaire, Saint Eustatius e Saba
100	898	BRA	Internação na Zona Franca de Manaus
101	072	BWA	Botsuana
102	074	BVT	Bouvet, Ilha
105	076	BRA	Brasil
108	096	BRN	Brunei
111	100	BGR	Bulgária
115	108	BDI	Burundi
119	064	BTN	Butão
127	132	CPV	Cabo Verde
137	136	CYM	Cayman, Ilhas
141	116	KHM	Camboja
145	120	CMR	Camarões
149	124	CAN	Canadá
150	831	GGY	Canal, Ilhas do (Guernsey)
151	724	ESP	Canárias, Ilhas
152	826	GBR	Canal, Ilhas do (Jersey)
153	398	KAZ	Cazaquistão
154	634	QAT	Catar
158	152	CHL	Chile
160	156	CHN	China
161	158	TWN	Taiwan (Formosa)
163	196	CYP	Chipre
165	166	CCK	Cocos (Keeling), Ilhas
169	170	COL	Colômbia
173	174	COM	Comores
177	178	COG	Congo
183	184	COK	Cook, Ilhas
187	408	PRK	Coreia do Norte
190	410	KOR	Coreia do Sul
193	384	CIV	Costa do Marfim
195	191	HRV	Croácia
196	188	CRI	Costa Rica
198	414	KWT	Coveite (Kuweit)
199	192	CUB	Cuba
200	531	CUW	Curaçao
229	204	BEN	Benin
232	208	DNK	Dinamarca
235	212	DMA	Dominica
237	784	ARE	Dubai
239	218	ECU	Equador
240	818	EGY	Egito
243	232	ERI	Eritreia
244	784	ARE	Emirados Árabes Unidos
245	724	ESP	Espanha
246	705	SVN	Eslovênia
247	703	SVK	Eslováquia
249	840	USA	Estados Unidos
251	233	EST	Estônia
253	231	ETH	Etiópia
